merge_id_muni,id_muni1980,id_muni1985,id_muni1990,id_muni1995,id_muni2000,id_muni2005,id_muni2010,id_muni2015,id_muni2020,name_muni1980,name_muni1985,name_muni1990,name_muni1995,name_muni2000,name_muni2005,name_muni2010,name_muni2015,name_muni2020,note_merge_consol,note_merge_incorp,note_seirei,note_city,note_town,note_change_zone,note_change_name
2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,青森県 下北郡 東通村,,,,,,,
2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,青森県 下北郡 風間浦村,,,,,,,
2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,青森県 下北郡 佐井村,,,,,,,
2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,青森県 三戸郡 三戸町,,,,,,,
2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,,2004年7月1日、倉石村(02449)が五戸町(02442)に編入,,,,,
2449,2449,2449,2449,2449,2449,2442,2442,2442,2442,青森県 三戸郡 倉石村,青森県 三戸郡 倉石村,青森県 三戸郡 倉石村,青森県 三戸郡 倉石村,青森県 三戸郡 倉石村,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,青森県 三戸郡 五戸町,,2004年7月1日、倉石村(02449)が五戸町(02442)に編入,,,,,
2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,青森県 三戸郡 田子町,,,,,,,
2444,2444,2444,2444,2444,2444,2444,2445,2445,2445,青森県 三戸郡 名川町,青森県 三戸郡 名川町,青森県 三戸郡 名川町,青森県 三戸郡 名川町,青森県 三戸郡 名川町,青森県 三戸郡 名川町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,2006年1月1日、名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設,,,,,,
2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,2006年1月1日、名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設,,,,,,
2447,2447,2447,2447,2447,2447,2447,2445,2445,2445,青森県 三戸郡 福地村,青森県 三戸郡 福地村,青森県 三戸郡 福地村,青森県 三戸郡 福地村,青森県 三戸郡 福地村,青森県 三戸郡 福地村,青森県 三戸郡 南部町,青森県 三戸郡 南部町,青森県 三戸郡 南部町,2006年1月1日、名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設,,,,,,
2446,2446,2446,2446,2446,2446,2446,2446,2446,2446,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,青森県 三戸郡 階上町,,,,,1980年5月1日、階上村(02446)が階上町(02446)に町制施行,,
2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,青森県 三戸郡 新郷村,,,,,,,
3201,3201,3201,3201,3201,3201,3201,3201,3201,3201,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,,1992年4月1日、都南村(03323)が盛岡市(03201)に編入,,,,,
3307,3307,3307,3307,3307,3307,3307,3201,3201,3201,岩手県 岩手郡 玉山村,岩手県 岩手郡 玉山村,岩手県 岩手郡 玉山村,岩手県 岩手郡 玉山村,岩手県 岩手郡 玉山村,岩手県 岩手郡 玉山村,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,,2006年1月10日、玉山村(03307)が盛岡市(03201)に編入,,,,,
3323,3323,3323,3323,3201,3201,3201,3201,3201,3201,岩手県 紫波郡 都南村,岩手県 紫波郡 都南村,岩手県 紫波郡 都南村,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,岩手県 盛岡市,,1992年4月1日、都南村(03323)が盛岡市(03201)に編入,,,,,
3202,3202,3202,3202,3202,3202,3202,3202,3202,3202,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,2005年6月6日、宮古市(03202)、田老町(03481)、新里村(03486)が合併し、宮古市を新設,2010年1月1日、川井村(03487)が宮古市(03202)に編入,,,,,
3481,3481,3481,3481,3481,3481,3202,3202,3202,3202,岩手県 下閉伊郡 田老町,岩手県 下閉伊郡 田老町,岩手県 下閉伊郡 田老町,岩手県 下閉伊郡 田老町,岩手県 下閉伊郡 田老町,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,2005年6月6日、宮古市(03202)、田老町(03481)、新里村(03486)が合併し、宮古市を新設,,,,,,
3486,3486,3486,3486,3486,3486,3202,3202,3202,3202,岩手県 下閉伊郡 新里村,岩手県 下閉伊郡 新里村,岩手県 下閉伊郡 新里村,岩手県 下閉伊郡 新里村,岩手県 下閉伊郡 新里村,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,2005年6月6日、宮古市(03202)、田老町(03481)、新里村(03486)が合併し、宮古市を新設,,,,,,
3487,3487,3487,3487,3487,3487,3487,3202,3202,3202,岩手県 下閉伊郡 川井村,岩手県 下閉伊郡 川井村,岩手県 下閉伊郡 川井村,岩手県 下閉伊郡 川井村,岩手県 下閉伊郡 川井村,岩手県 下閉伊郡 川井村,岩手県 宮古市,岩手県 宮古市,岩手県 宮古市,,2010年1月1日、川井村(03487)が宮古市(03202)に編入,,,,,
