"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","/男女 コード","0","1","2"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","2020年","05366","井川町","","4,566","2,130","2,436"
"2020000000","2020年","05368","大潟村","","3,011","1,500","1,511"
"2020000000","2020年","05434","美郷町","","18,613","8,701","9,912"
"2020000000","2020年","05463","羽後町","","13,825","6,637","7,188"
"2020000000","2020年","05464","東成瀬村","","2,704","1,491","1,213"
"2020000000","2020年","06000","山形県","","1,068,027","516,438","551,589"
"2020000000","2020年","06201","山形市","","247,590","119,001","128,589"
"2020000000","2020年","06202","米沢市","","81,252","40,258","40,994"
"2020000000","2020年","06203","鶴岡市","","122,347","58,626","63,721"
"2020000000","2020年","06204","酒田市","","100,273","47,838","52,435"
"2020000000","2020年","06205","新庄市","","34,432","16,446","17,986"
"2020000000","2020年","06206","寒河江市","","40,189","19,529","20,660"
"2020000000","2020年","06207","上山市","","29,110","13,909","15,201"
"2020000000","2020年","06208","村山市","","22,516","10,937","11,579"
"2020000000","2020年","06209","長井市","","26,543","12,953","13,590"
"2020000000","2020年","06210","天童市","","62,140","30,222","31,918"
"2020000000","2020年","06211","東根市","","47,682","23,525","24,157"
"2020000000","2020年","06212","尾花沢市","","14,971","7,320","7,651"
"2020000000","2020年","06213","南陽市","","30,420","14,652","15,768"
"2020000000","2020年","06301","山辺町","","13,725","6,603","7,122"
"2020000000","2020年","06302","中山町","","10,746","5,251","5,495"
"2020000000","2020年","06321","河北町","","17,641","8,528","9,113"
"2020000000","2020年","06322","西川町","","4,956","2,387","2,569"
"2020000000","2020年","06323","朝日町","","6,366","3,150","3,216"
"2020000000","2020年","06324","大江町","","7,646","3,797","3,849"
"2020000000","2020年","06341","大石田町","","6,577","3,213","3,364"
"2020000000","2020年","06361","金山町","","5,071","2,466","2,605"
"2020000000","2020年","06362","最上町","","8,080","3,913","4,167"
"2020000000","2020年","06363","舟形町","","5,007","2,420","2,587"
"2020000000","2020年","06364","真室川町","","7,203","3,408","3,795"
"2020000000","2020年","06365","大蔵村","","3,028","1,498","1,530"
"2020000000","2020年","06366","鮭川村","","3,902","1,887","2,015"
"2020000000","2020年","06367","戸沢村","","4,199","1,987","2,212"
"2020000000","2020年","06381","高畠町","","22,463","10,950","11,513"
"2020000000","2020年","06382","川西町","","14,558","7,101","7,457"
"2020000000","2020年","06401","小国町","","7,107","3,573","3,534"
"2020000000","2020年","06402","白鷹町","","12,890","6,357","6,533"
"2020000000","2020年","06403","飯豊町","","6,613","3,214","3,399"
"2020000000","2020年","06426","三川町","","7,601","3,694","3,907"
"2020000000","2020年","06428","庄内町","","20,151","9,636","10,515"
"2020000000","2020年","06461","遊佐町","","13,032","6,189","6,843"
"2020000000","2020年","07000","福島県","","1,833,152","903,864","929,288"
"2020000000","2020年","07201","福島市","","282,693","138,190","144,503"
"2020000000","2020年","07202","会津若松市","","117,376","56,063","61,313"
"2020000000","2020年","07203","郡山市","","327,692","161,830","165,862"
"2020000000","2020年","07204","いわき市","","332,931","163,525","169,406"
"2020000000","2020年","07205","白河市","","59,491","29,681","29,810"
"2020000000","2020年","07207","須賀川市","","74,992","36,781","38,211"
"2020000000","2020年","07208","喜多方市","","44,760","21,438","23,322"
"2020000000","2020年","07209","相馬市","","34,865","17,536","17,329"
"2020000000","2020年","07210","二本松市","","53,557","26,305","27,252"
"2020000000","2020年","07211","田村市","","35,169","17,320","17,849"
"2020000000","2020年","07212","南相馬市","","59,005","31,015","27,990"
"2020000000","2020年","07213","伊達市","","58,240","28,313","29,927"
"2020000000","2020年","07214","本宮市","","30,236","15,018","15,218"
"2020000000","2020年","07301","桑折町","","11,459","5,491","5,968"
"2020000000","2020年","07303","国見町","","8,639","4,114","4,525"
"2020000000","2020年","07308","川俣町","","12,170","5,986","6,184"
"2020000000","2020年","07322","大玉村","","8,900","4,427","4,473"
"2020000000","2020年","07342","鏡石町","","12,318","6,030","6,288"
"2020000000","2020年","07344","天栄村","","5,194","2,567","2,627"
